Group,Weighting,Subsystem,ncount,mae,rmae,rmse,rrmse,ssr,rsq
*ALL,Unweighted,Combined,15213,9783.895073836156,0.1006308264155485,144442.16313224274,0.22781595058908205,317397011053259.8,0.948099892657193
*ALL,Unweighted,Energy,363,0.11278674722618424,0.05998439707768087,0.37976934526758915,0.0762190820622387,52.35358628460532,0.9941906515295897
*ALL,Unweighted,Force,12672,0.07575757670459685,0.13482546441527107,0.16097300621585736,0.12039852100056127,328.36077622872,0.9855041961408774
*ALL,Unweighted,Stress,2178,68338.56511325444,0.10073255198660455,381744.2274776723,0.24572929430717216,317397011052879.06,0.9396171139192991
*ALL,Weighted,Combined,15213,0.06999218345036855,0.0055213697380578075,0.1748859828923524,0.0011096599392611329,465.2912329769664,0.9999987686548192
*ALL,Weighted,Energy,363,0.26084230122776375,0.0006254553272436446,0.6132321258188197,0.0006603301754830638,136.50747136946555,0.9999995639640593
*ALL,Weighted,Force,12672,0.07574500287727734,0.1348109279881007,0.16097299892073572,0.12039851603750729,328.3607464668138,0.9855041973359661
*ALL,Weighted,Stress,2178,0.004712881094545339,0.0002988945177786055,0.013936349151768126,0.0003539564423382515,0.42301514068701423,0.999999874714837
Displaced_A15,Unweighted,Combined,1791,589.7178407371273,0.03603741750690248,4651.157003065466,0.035198543298622,38745171287.69238,0.998761062549655
Displaced_A15,Unweighted,Energy,9,0.0023583461415097105,1.7337813177799093,0.0024689484166281186,1.4887357301529434,5.486135655573445e-05,-1.2163340742340183
Displaced_A15,Unweighted,Force,1728,0.09806014420608432,0.2245599021889734,0.12819237448637494,0.22452864883391116,28.396716266514225,0.9495868858528183
Displaced_A15,Unweighted,Stress,54,19555.83673344244,0.03607117852285745,26786.249671584064,0.04940772029625516,38745171259.295616,0.997558877175127
Displaced_A15,Weighted,Combined,1791,0.09580178719559378,0.01093542328657987,0.1271280798705095,0.0010833766744903662,28.9453337065887,0.9999988262949812
Displaced_A15,Weighted,Energy,9,0.23583461415096788,1.733781317779825,0.24689484166281397,1.488735730153051,0.5486135655573539,-1.216334074234338
Displaced_A15,Weighted,Force,1728,0.09806014420608432,0.2245599021889734,0.12819237448637494,0.22452864883391116,28.396716266514225,0.9495868858528183
Displaced_A15,Weighted,Stress,54,0.0001955583673344243,0.03607117852285744,0.00026786249671584056,0.04940772029625515,3.8745171259295595e-06,0.997558877175127
Displaced_BCC,Unweighted,Combined,1521,530.4205558620472,0.02599435053201268,3874.5502417586636,0.025596841849989126,22833464294.962334,0.9993448016873067
Displaced_BCC,Unweighted,Energy,9,0.0018836779936791794,0.0774024304127458,0.002730579531329403,0.06422285856902316,6.710458119223593e-05,0.9958754244372232
Displaced_BCC,Unweighted,Force,1458,0.14339704175467977,0.12133566349162357,0.18486546452441335,0.1217463943005063,49.827499881839955,0.9851778154748256
Displaced_BCC,Unweighted,Stress,54,14936.30695604062,0.02610155395736151,20563.120640249588,0.03593359578639912,22833464245.134766,0.9987087766938597
Displaced_BCC,Weighted,Combined,1521,0.1385774245091324,0.012506675314540581,0.18221110351454964,0.0014131502634798046,50.49854797710867,0.9999980030063328
Displaced_BCC,Weighted,Energy,9,0.18836779936790057,0.07740243041273893,0.2730579531329275,0.06422285856901996,0.6710458119222964,0.9958754244372237
Displaced_BCC,Weighted,Force,1458,0.14339704175467977,0.12133566349162357,0.18486546452441335,0.1217463943005063,49.827499881839955,0.9851778154748256
Displaced_BCC,Weighted,Stress,54,0.00014936306956040628,0.026101553957361523,0.00020563120640249596,0.035933595786399125,2.2833464245134786e-06,0.9987087766938597
Displaced_FCC,Unweighted,Combined,1359,1403.8383813193213,0.06689504948312118,9905.354242200627,0.06725481496067554,133339701979.672,0.9954767898646053
Displaced_FCC,Unweighted,Energy,9,0.0006167018264583311,0.17762981015502904,0.000749292470115916,0.16833850371666098,5.052952851951697e-06,0.9716621481664357
Displaced_FCC,Unweighted,Force,1296,0.05740702055899756,0.13458538694184888,0.0716630667023853,0.13923907519775314,6.655731287430919,0.9806124799380744
Displaced_FCC,Unweighted,Stress,54,35328.5547252592,0.06695319224840178,49691.58621176266,0.09417306301183757,133339701973.01624,0.9911314342029685
Displaced_FCC,Weighted,Combined,1359,0.055168217592218544,0.00494485363420534,0.07024750813206306,0.0005335606684166962,6.706274149920636,0.9999997153130131
Displaced_FCC,Weighted,Energy,9,0.06167018264583628,0.17762981015504864,0.07492924701159392,0.16833850371667622,0.050529528519520105,0.9716621481664306
Displaced_FCC,Weighted,Force,1296,0.05740702055899756,0.13458538694184888,0.0716630667023853,0.13923907519775314,6.655731287430919,0.9806124799380744
Displaced_FCC,Weighted,Stress,54,0.00035328554725259204,0.0669531922484018,0.0004969158621176266,0.09417306301183756,1.3333970197301625e-05,0.9911314342029685
