"FileName Type True-Ref Predicted-Ref Difference(Pred-True)"
MD-bcc_Te300K:config_24.json Training -15.249063798159241 -15.24924950486537 -0.0001857067061283857
MD-bcc_Te300K:config_1.json Training -15.442033392113178 -15.441598036481183 0.0004353556319944829
MD-bcc_Te300K:config_5.json Training -15.440759152442837 -15.440790707080328 -3.155463749138221e-05
MD-bcc_Te300K:config_25.json Training -15.251199333548445 -15.251885212001103 -0.0006858784526571071
MD-bcc_Te300K:config_6.json Training -15.439635044174523 -15.438793779433057 0.0008412647414655083
MD-bcc_Te300K:config_30.json Training -15.258278606897981 -15.259434546377628 -0.0011559394796467615
MD-bcc_Te300K:config_15.json Training -15.370242364249513 -15.370688494993091 -0.0004461307435779105
MD-bcc_Te300K:config_13.json Training -15.365727610826 -15.365722182277196 5.428548803365629e-06
MD-bcc_Te300K:config_28.json Training -15.249543501732063 -15.249821341960489 -0.0002778402284260295
MD-bcc_Te300K:config_27.json Training -15.251841822901909 -15.25158018750213 0.000261635399779081
MD-bcc_Te300K:config_17.json Training -15.372507513778823 -15.37292839953498 -0.00042088575615650825
MD-bcc_Te300K:config_21.json Training -15.251855864750205 -15.251335608309764 0.0005202564404402921
MD-bcc_Te300K:config_20.json Training -15.370175819339355 -15.370382695832733 -0.00020687649337780556
MD-bcc_Te300K:config_4.json Training -15.445059311229798 -15.445190300323873 -0.00013098909407460724
MD-bcc_Te300K:config_16.json Training -15.369183483157602 -15.368701906908397 0.00048157624920541764
MD-bcc_Te300K:config_7.json Training -15.443000104595292 -15.443048495625952 -4.8391030659900025e-05
MD-bcc_Te300K:config_9.json Training -15.443854376618155 -15.443660408297145 0.00019396832101037376
MD-bcc_Te300K:config_32.json Training -14.613404144128452 -14.613077896273118 0.000326247855333861
MD-bcc_Te300K:config_3.json Training -15.436220939910047 -15.43578723882397 0.0004337010860773205
MD-bcc_Te300K:config_11.json Training -15.371574443125077 -15.371443138002446 0.0001313051226308204
MD-bcc_Te300K:config_2.json Training -15.447922206783655 -15.448068509734911 -0.00014630295125606096
MD-bcc_Te300K:config_23.json Training -15.247925254609907 -15.249022550443042 -0.0010972958331354477
MD-bcc_Te300K:config_40.json Training -14.62307529731293 -14.623579184563251 -0.0005038872503213554
MD-bcc_Te300K:config_19.json Training -15.37333129535228 -15.37352640161797 -0.00019510626568930434
