Group,Weighting,Subsystem,ncount,mae,rmae,rmse,rrmse,ssr,rsq
*ALL,Unweighted,Combined,367900,394.73050134188856,0.08047583820810934,5848.701644692323,0.1493149723321156,12584869690641.756,0.9777050390374595
*ALL,Unweighted,Energy,1894,0.0033116853829882626,0.00955636823349667,0.007373276448107029,0.01069116387726898,0.10296769936891736,0.9998856990149494
*ALL,Unweighted,Force,354642,0.06751981842429672,0.4983469265594854,0.306145638639409,0.7980509775799228,33238.87537612898,0.3631146371837296
*ALL,Unweighted,Stress,11364,12776.962320301218,0.08059239363480364,33278.11731442302,0.20119933169816565,12584869657402.781,0.9595188289242116
*ALL,Weighted,Combined,367900,268.43843289960756,0.005921876494755403,519.5606551258626,0.0005434712122945391,99312130635.13664,0.9999997046390414
*ALL,Weighted,Energy,1894,1444.1139925536613,0.00020989391902908664,2526.0943719140737,0.00024199414305839406,12085903357.395426,0.9999999414388347
*ALL,Weighted,Force,354642,270.7613524673439,0.09812032135660707,495.93922680930666,0.01449632946933401,87226227277.74121,0.9997898564319165
*ALL,Weighted,Stress,11364,1.277696232030122e-08,0.08059239363480365,3.3278117314423014e-08,0.2011993316981656,1.2584869657402779e-11,0.9595188289242116
EOS,Unweighted,Combined,655,13.51310719254527,0.009152678696571055,161.51401201020883,0.007431130002095636,17086838.329540193,0.999944778306892
EOS,Unweighted,Energy,1,0.0003540390326897125,inf,0.0003540390326897125,inf,1.253436366678673e-07,-inf
EOS,Unweighted,Force,648,0.03548294514879893,0.507165400919436,0.04976961268109715,0.36696475676223,1.6051052964843242,0.8653368672944374
EOS,Unweighted,Stress,6,1471.3486514369497,0.00912938398647946,1687.544405560674,0.010470829505673289,17086836.724434774,0.9998903617294631
EOS,Weighted,Combined,655,429.7470988129595,0.009078904750298008,606.4515394642001,0.000510062264430748,240898172.6656164,0.9999997398364864
EOS,Weighted,Energy,1,1883.2793102934957,inf,1883.2793102934957,inf,3546740.960579545,-inf
EOS,Weighted,Force,648,431.48313335212765,0.5071654009194361,605.2132464006721,0.36696475676223006,237351431.70500877,0.8653368672944373
EOS,Weighted,Stress,6,1.4713486514369468e-09,0.009129383986479443,1.6875444055606705e-09,0.010470829505673268,1.70868367244347e-17,0.9998903617294631
Shear,Unweighted,Combined,66772,135.11128681983575,0.03197977567212028,2908.0411800462934,0.07352990533323253,564671006425.5131,0.9945933530216858
Shear,Unweighted,Energy,268,0.006467811886136307,0.0067922419335657985,0.015224083111266737,0.011254162726060486,0.0621150853631069,0.9998733438213353
Shear,Unweighted,Force,64896,0.0372005368063403,0.811377631874959,0.09794970103334565,0.9495152156835124,622.6215646449342,0.09842085518549315
Shear,Unweighted,Stress,1608,5608.976955300935,0.031976381094971,18739.358602221557,0.100275207156204,564671005802.8293,0.9899448828297803
Shear,Weighted,Combined,66772,142.27615553325447,0.010304379501502139,414.94023836238875,0.0007909918261012007,11496495903.09782,0.9999993743319311
Shear,Weighted,Energy,268,878.7883705918949,0.00031142465928949,1630.99604971655,0.00021579066274269513,712919694.6031857,0.9999999534343899
Shear,Weighted,Force,64896,142.75992625029005,0.6693808510475262,407.6359156182171,0.5404539770182216,10783576208.494644,0.7079094987251877
Shear,Weighted,Stress,1608,5.608976955300935e-09,0.03197638109497101,1.8739358602221557e-08,0.10027520715620401,5.646710058028293e-13,0.9899448828297803
Strain,Unweighted,Combined,117613,45.59864244348234,0.01653719638140177,1191.1947314926954,0.04012095841543409,166886365151.85666,0.998390308695827
Strain,Unweighted,Energy,346,0.001888093524265116,0.0044168040049060615,0.004123210043006342,0.004780648309619171,0.005882297926326933,0.9999771454017398
Strain,Unweighted,Force,115191,0.032205357045096236,0.463216833274141,0.05391408240080507,0.2906218739376841,334.82893743058594,0.9155389263889488
Strain,Unweighted,Stress,2076,2581.5427327271427,0.016531926010841518,8965.959087508358,0.05559634972705715,166886364817.02182,0.9969090458970268
Strain,Weighted,Combined,117613,158.04346474930148,0.010142652461293753,304.67792648984107,0.0006598178721765754,10917854705.787092,0.9999995646403755
Strain,Weighted,Energy,346,510.7469126727187,0.0001526285616469284,781.0159229561318,0.00011531250624745311,211055111.68121237,0.9999999867030259
Strain,Weighted,Force,115191,159.83234443463024,0.40584255778860323,304.8741220230513,0.25547274691634675,10706799594.105885,0.9347336755830162
Strain,Weighted,Stress,2076,2.5815427327271426e-09,0.016531926010841518,8.965959087508356e-09,0.05559634972705714,1.6688636481702176e-13,0.9969090458970268
aIn,Unweighted,Combined,22021,1018.7910105659944,0.15196483182494386,9839.006283076393,0.227795081380369,2131765908982.5747,0.948109400898911
aIn,Unweighted,Energy,163,0.007668289333800123,0.059512699604692035,0.011415816185163246,0.07171898220771465,0.021242300045269925,0.9948563875910895
aIn,Unweighted,Force,20880,0.16701576190156298,0.9045579711205153,0.5349969819985045,1.0542024116320863,5976.310573207971,-0.11134272469090689
aIn,Unweighted,Stress,978,22935.898061998058,0.15219716763652893,46687.46873867973,0.29971748992950864,2131765903006.243,0.9101694262303549
aIn,Weighted,Combined,22021,262.4799428776329,0.022864136986349457,530.2484499141527,0.003403619937962348,6191499641.791321,0.9999884153713179
aIn,Weighted,Energy,163,1854.0075506394733,0.0025550952061400563,3083.8367440329857,0.00305803762716165,1550137997.4072185,0.9999906484058708
aIn,Weighted,Force,20880,262.34998042776283,0.812252303205541,471.4736843938024,0.638392143283098,4641361644.384098,0.5924554713944123
aIn,Weighted,Stress,978,2.293589806199806e-08,0.15219716763652896,4.6687468738679735e-08,0.2997174899295087,2.131765903006243e-12,0.9101694262303549
aa,Unweighted,Combined,1674,11209.761347909305,0.43046647301408164,33472.215509886606,0.4638706624219972,1875531539448.8513,0.7848240085441774
aa,Unweighted,Energy,54,0.004238434429394168,0.8726160592738808,0.005045515767514959,0.8060582856464663,0.0013746903854530716,0.35027004014067953
aa,Unweighted,Force,1296,1.2068805131206986,1.0377481106927233,1.942993613982527,1.123246735700378,4892.690542434038,-0.26168322926155474
aa,Unweighted,Stress,324,57912.27206907319,0.4321241127207199,76083.35938817775,0.549040036874385,1875531534556.1594,0.698555037908974
aa,Weighted,Combined,1674,206.12532489653074,0.011805062744833854,363.6066056878994,0.003842755477073102,221319144.43359163,0.9999852332303434
aa,Weighted,Energy,54,423.84344293941814,0.8726160592738795,504.55157675149644,0.8060582856464742,13746903.854530746,0.3502700401406672
aa,Weighted,Force,1296,248.58506785439812,1.0377481106927233,400.20465499404787,1.123246735700378,207572240.57906073,-0.2616832292615545
aa,Weighted,Stress,324,5.7912272069073184e-08,0.4321241127207199,7.608335938817774e-08,0.5490400368743849,1.8755315345561594e-12,0.698555037908974
iIn,Unweighted,Combined,651,10966.491061455234,0.42049024920398637,32575.91349097909,0.4504096917694344,690834780991.4114,0.7971311095601631
iIn,Unweighted,Energy,21,0.0057464426011983125,1.0247139637214098,0.006332176128777763,0.8908402672967323,0.0008420255450431216,0.2064036181626867
iIn,Unweighted,Force,504,1.2202689042025932,1.0302013254254363,1.9286848076453933,1.1140276668359135,1874.7918439700422,-0.2410576424758688
iIn,Unweighted,Stress,126,56655.32178416146,0.4225508467920107,74046.03775540425,0.5337371118882897,690834779116.6185,0.7151246953931474
iIn,Weighted,Combined,651,213.12482226224483,0.012198577030827447,367.5765274002212,0.003883115031589147,87958239.77563924,0.9999849214176515
iIn,Weighted,Energy,21,574.6442601198352,1.024713963721424,633.2176128777808,0.8908402672967378,8420255.450431334,0.20640361816267672
iIn,Weighted,Force,504,251.34271790290884,1.0302013254254365,397.25742404983913,1.1140276668359135,79537984.32520771,-0.24105764247586903
iIn,Weighted,Stress,126,5.665532178416146e-08,0.42255084679201077,7.404603775540423e-08,0.5337371118882895,6.908347791166185e-13,0.7151246953931475
iP,Unweighted,Combined,620,11207.150234045253,0.4303867155978154,33449.992480440545,0.4637154086486053,693719238103.748,0.7849680197818569
iP,Unweighted,Energy,20,0.0038986527711926122,0.9167456535445626,0.004729538017817214,0.792872757366759,0.0004473705972395677,0.3713527906256324
iP,Unweighted,Force,480,1.2068312772930785,1.0405702342108207,1.9439813798888732,1.1245276339864338,1813.9505305702307,-0.26456239959912686
iP,Unweighted,Stress,120,57898.781567682505,0.4321622599208687,76032.84576910369,0.5489383178430023,693719236289.7971,0.6986667232036949
iP,Weighted,Combined,620,205.02140373170823,0.011743245623955931,362.4079405074456,0.0038304380200059867,81430499.51256591,0.9999853277445749
iP,Weighted,Energy,20,389.8652771192662,0.916745653544528,472.9538017817266,0.7928727573667496,4473705.972395775,0.37135279062564763
iP,Weighted,Force,480,248.57492659234543,1.040570234210821,400.40810832035805,1.1245276339864338,76956793.54017004,-0.2645623995991271
iP,Weighted,Stress,120,5.789878156768251e-08,0.4321622599208687,7.603284576910369e-08,0.5489383178430023,6.937192362897972e-13,0.6986667232036949
s_aIn,Unweighted,Combined,1271,11022.967097268101,0.42295337797818505,32790.828152002694,0.45463840319270266,1366628020246.493,0.7933039223423897
s_aIn,Unweighted,Energy,41,0.00482506266333869,1.0064908533057417,0.00562417418279865,0.9169034894167342,0.0012968847447768132,0.15928799109541725
s_aIn,Unweighted,Force,984,1.219109211375995,1.0315239809826233,1.9362371714381243,1.1215459805005552,3689.0301539137695,-0.2578653863769522
s_aIn,Unweighted,Stress,246,56947.1194281959,0.4257621041133363,74534.54528801051,0.5388132958515554,1366628016557.4607,0.7096802322135842
s_aIn,Weighted,Combined,1271,209.96770065525243,0.012023281773304282,365.1582482942604,0.003859229862158367,169475834.34390986,0.999985106344871
s_aIn,Weighted,Energy,41,482.5062663338812,1.0064908533057775,562.4174182798789,0.9169034894167519,12968847.447768776,0.1592879910953846
s_aIn,Weighted,Force,984,251.10385223488612,1.0315239809826233,398.8130087539311,1.1215459805005557,156506986.89614132,-0.25786538637695244
s_aIn,Weighted,Stress,246,5.69471194281959e-08,0.4257621041133363,7.453454528801053e-08,0.5388132958515556,1.366628016557461e-12,0.7096802322135842
s_aP,Unweighted,Combined,3100,11128.309767912091,0.42760345404957306,33207.419080917374,0.4608354501303431,3418471314248.5938,0.787630687903164
s_aP,Unweighted,Energy,100,0.004976425360747694,0.8593185045542662,0.0058220405028166266,0.7517906712500959,0.003389615561643727,0.4348107866213303
s_aP,Unweighted,Force,2400,1.2138665153332986,1.0314571197169555,1.9420145738907557,1.1248299580688448,9051.409452489825,-0.26524243456915886
s_aP,Unweighted,Stress,600,57491.41083874691,0.4299136261406418,75481.46908565462,0.5457948368883437,3418471305197.181,0.7021079960260261
s_aP,Weighted,Combined,3100,209.61995065019565,0.012005346939657427,367.160821591158,0.0038808599026241945,417901913.6256319,0.9999849389264162
s_aP,Weighted,Energy,100,497.64253607477184,0.8593185045542694,582.2040502816606,0.7517906712500925,33896155.616437025,0.43481078662133543
s_aP,Weighted,Force,2400,250.02399723901436,1.0314571197169555,400.0029989518802,1.1248299580688446,384005758.0091949,-0.2652424345691584
s_aP,Weighted,Stress,600,5.7491410838746914e-08,0.42991362614064194,7.548146908565463e-08,0.5457948368883437,3.418471305197181e-12,0.7021079960260261
s_iIn,Unweighted,Combined,16234,1073.2599922035272,0.15727567405194223,9991.127516316148,0.22773281657390393,1620520559953.7004,0.9481377642553166
s_iIn,Unweighted,Energy,121,0.0018524651308314869,0.010955244343969878,0.0030819755045119607,0.014936261720391386,0.0011493273342598224,0.99977690808582
s_iIn,Unweighted,Force,15387,0.1522858689140261,0.5570809948958629,0.5375642121101634,0.8928346291263872,4446.462666313118,0.2028463250327468
s_iIn,Unweighted,Stress,726,23995.811662009364,0.15770147293297498,47245.33815396705,0.29937854888488735,1620520555507.2366,0.9103724844675791
s_iIn,Weighted,Combined,16234,417.8748514546671,0.007273027473168945,625.853344341965,0.000769160184953763,6358734561.602377,0.9999994083926099
s_iIn,Weighted,Energy,121,651.3840187073314,0.00014119745415767888,776.3631143416015,0.00013657661228872947,72931501.92253307,0.999999981346829
