Group,Weighting,Subsystem,ncount,mae,rmae,rmse,rrmse,ssr,rsq
*ALL,Unweighted,Combined,15213,9783.89507383567,0.10063082641554351,144442.1631322285,0.22781595058905962,317397011053197.3,0.9480998926572032
*ALL,Unweighted,Energy,363,0.11278674722619626,0.059984397077687275,0.37976934526763656,0.07621908206224821,52.3535862846184,0.9941906515295883
*ALL,Unweighted,Forces,12672,0.07575757670459565,0.13482546441526896,0.1609730062158566,0.1203985210005607,328.3607762287169,0.9855041961408776
*ALL,Unweighted,Stress,2178,68338.56511325107,0.10073255198659956,381744.22747763473,0.24572929430714802,317397011052816.56,0.939617113919311
*ALL,Weighted,Combined,15213,0.0699921834503667,0.005521369738057662,0.17488598289235058,0.0011096599392611212,465.2912329769566,0.9999987686548192
*ALL,Weighted,Energy,363,0.26084230122769864,0.0006254553272434886,0.6132321258188056,0.0006603301754830488,136.50747136945924,0.9999995639640593
*ALL,Weighted,Forces,12672,0.07574500287727615,0.13481092798809857,0.16097299892073494,0.1203985160375067,328.36074646681067,0.9855041973359663
*ALL,Weighted,Stress,2178,0.00471288109455029,0.0002988945177789194,0.013936349151763266,0.00035395644233812804,0.4230151406867192,0.999999874714837
Displaced_A15,Unweighted,Combined,1791,589.7178407369638,0.03603741750689248,4651.157003064144,0.035198543298612,38745171287.67036,0.9987610625496557
Displaced_A15,Unweighted,Energy,9,0.0023583461414801044,1.7337813177601562,0.0024689484165993474,1.4887357301367758,5.4861356554455817e-05,-1.216334074185879
Displaced_A15,Unweighted,Forces,1728,0.09806014420606321,0.22455990218892505,0.12819237448633986,0.2245286488338497,28.396716266498682,0.9495868858528458
Displaced_A15,Unweighted,Stress,54,19555.836733437016,0.03607117852284744,26786.24967157645,0.04940772029624112,38745171259.27359,0.9975588771751284
Displaced_A15,Weighted,Combined,1791,0.09580178719555857,0.010935423286575855,0.12712807987044744,0.0010833766744898373,28.94533370656044,0.9999988262949812
Displaced_A15,Weighted,Energy,9,0.23583461414801202,1.7337813177606711,0.2468948416599511,1.4887357301373083,0.5486135655446309,-1.2163340741874644
Displaced_A15,Weighted,Forces,1728,0.09806014420606321,0.22455990218892505,0.12819237448633986,0.2245286488338497,28.396716266498682,0.9495868858528458
Displaced_A15,Weighted,Stress,54,0.00019555836733437014,0.03607117852284744,0.0002678624967157644,0.0494077202962411,3.8745171259273555e-06,0.9975588771751284
Displaced_BCC,Unweighted,Combined,1521,530.4205558621185,0.025994350532016174,3874.550241759188,0.02559684184999259,22833464294.968513,0.9993448016873064
Displaced_BCC,Unweighted,Energy,9,0.0018836779936768108,0.07740243041264346,0.0027305795313279247,0.0642228585689883,6.710458119216326e-05,0.9958754244372278
Displaced_BCC,Unweighted,Forces,1458,0.14339704175467372,0.12133566349161846,0.18486546452440542,0.12174639430050105,49.82749988183568,0.985177815474827
Displaced_BCC,Unweighted,Stress,54,14936.30695604263,0.026101553957365027,20563.120640252375,0.03593359578640399,22833464245.140953,0.9987087766938594
Displaced_BCC,Weighted,Combined,1521,0.13857742450912502,0.012506675314539917,0.18221110351454028,0.001413150263479732,50.49854797710349,0.9999980030063328
Displaced_BCC,Weighted,Energy,9,0.18836779936762266,0.07740243041261909,0.27305795313274284,0.06422285856897657,0.6710458119213886,0.9958754244372292
Displaced_BCC,Weighted,Forces,1458,0.14339704175467372,0.12133566349161846,0.18486546452440542,0.12174639430050105,49.82749988183568,0.985177815474827
Displaced_BCC,Weighted,Stress,54,0.00014936306956042628,0.026101553957365017,0.00020563120640252374,0.03593359578640398,2.2833464245140953e-06,0.9987087766938594
Displaced_FCC,Unweighted,Combined,1359,1403.8383813187588,0.06689504948309437,9905.354242196634,0.06725481496064845,133339701979.56448,0.995476789864609
Displaced_FCC,Unweighted,Energy,9,0.0006167018264658313,0.1776298101572297,0.0007492924701253908,0.16833850371880765,5.052952852079487e-06,0.971662148165713
Displaced_FCC,Unweighted,Forces,1296,0.057407020558990454,0.13458538694183222,0.07166306670237414,0.13923907519773146,6.655731287428846,0.9806124799380805
Displaced_FCC,Unweighted,Stress,54,35328.55472524505,0.06695319224837498,49691.58621174264,0.0941730630117996,133339701972.90874,0.9911314342029757
Displaced_FCC,Weighted,Combined,1359,0.055168217592216615,0.0049448536342051675,0.07024750813205868,0.000533560668416663,6.7062741499198015,0.9999997153130131
Displaced_FCC,Weighted,Energy,9,0.06167018264656892,0.17762981015719767,0.07492924701251051,0.16833850371875425,0.050529528520756345,0.9716621481657309
